author_id,source,title,authors,publisher,year,cited,quartile,link
258932,garuda,DILEMA CROWDFUNDING: MEMAHAMI HAMBATAN DALAM LANSKAP KEUANGAN USAHA KECIL MENENGAH DI INDONESIA,,Majalah Ilmiah UNIKOM Vol. 22 No. 2 (2024): Majalah Ilmiah Unikom57-65,2024,DOI: 10.34010/miu.v22i2.17346,Accred : Sinta 5,https://garuda.kemdiktisaintek.go.id/documents/detail/5328855
258932,garuda,SMART GOVERNANCE DALAM PENGELOLAAN WISATA ALAM CURUG MALELA DI KABUPATEN BANDUNG BARAT,,Majalah Ilmiah UNIKOM Vol. 22 No. 2 (2024): Majalah Ilmiah Unikom67-76,2024,DOI: 10.34010/miu.v22i2.17348,Accred : Sinta 5,https://garuda.kemdiktisaintek.go.id/documents/detail/5328856
258932,garuda,"PENINGKATAN KUALITAS PELAYANAN ADMINISTRASI KEPENDUDUKAN PADA RUKUN WARGA 06 KELURAHAN ANTAPANI WETAN KECAMATAN ANTAPANI, KOTA BANDUNG",,"Kumawula: Jurnal Pengabdian Kepada Masyarakat Vol 6, No 1 (2023): Kumawula: Jurnal Pengabdian Kepada Masyarakat50 - 59",2023,DOI: 10.24198/kumawula.v6i1.41152,Accred : Sinta 3,https://garuda.kemdiktisaintek.go.id/documents/detail/3312377
258932,garuda,"SOSIALISASI INDUSTRI KEUANGAN SEBAGAI ALTERNATIF SUMBER PEMBIAYAAN BAGI USAHA MIKRO, KECIL DAN MENENGAH",,"Dharmakarya : Jurnal Aplikasi Ipteks Untuk Masyarakat Vol 12, No 1 (2023): Maret, 202377-83",2023,DOI: 10.24198/dharmakarya.v12i1.36826,Accred : Sinta 3,https://garuda.kemdiktisaintek.go.id/documents/detail/3431642
258932,garuda,PENINGKATAN PENGETAHUAN KADER MUDA PARTAI GOLONGAN KARYA (GOLKAR) TENTANG PERAN DAN FUNGSI PARTAI POLITIK DALAM KEBIJAKAN PUBLIK GUNA MEWUJUDKAN GOOD GOVERNACE,,"RESONA : Jurnal Ilmiah Pengabdian Masyarakat Vol 7, No 1 (2023)62-70",2023,DOI: 10.35906/resona.v7i1.1007,Accred : Sinta 4,https://garuda.kemdiktisaintek.go.id/documents/detail/3553755
258932,garuda,IMPLEMENTASI KEBIJAKAN E-GOVERNMENT DALAM PENINGKATAN MUTU PELAYANAN PUBLIK DI KOTA BANDUNG,,Moderat :Â Jurnal Ilmiah Ilmu Pemerintahan Vol 9 No 4 (2023): November 2023875-886,2023,DOI: 10.25157/moderat.v9i4.3329,Accred : Sinta 4,https://garuda.kemdiktisaintek.go.id/documents/detail/3907507
258932,googlescholar,The Influence of Public Sector Accounting Systems and Budget Transparency on Quality Financial Reports in Local Governments,"S Suryanto, PS Kurniati","@ is The Best: Accounting Information Systems and Information Technology …, 2025",2025,1 cited,,https://scholar.google.com/scholar?q=+intitle:'The Influence of Public Sector Accounting Systems and Budget Transparency on Quality Financial Reports in Local Governments'
258932,googlescholar,Buildings in Cianjur District,"PS Kurniati, RAW Kusumah","Proceedings of the 8th International Conference on Business, Economics …, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Buildings in Cianjur District'
258932,googlescholar,The Role of the Audit Agency in Maintaining the Integrity of State Budget Use: An Empirical Study of Audit Result Reports,"PS Kurniati, S Suryanto","Jurnal Manajemen Pelayanan Publik 9 (2), 506-519, 2025",2025,1 cited,,https://scholar.google.com/scholar?q=+intitle:'The Role of the Audit Agency in Maintaining the Integrity of State Budget Use: An Empirical Study of Audit Result Reports'
258932,googlescholar,IMPLEMENTASI KEBIJAKAN PERATURAN WALIKOTA BANDUNG NOMOR 20 TAHUN 2023 TENTANG PENYELENGGARAAN SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK DI KOTA BANDUNG (STUDI KASUS PADA E …,"PS Kurniati, SYA Rohmah","Jurnal Administrasi Publik dan Pembangunan 7 (2), 116-126, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI KEBIJAKAN PERATURAN WALIKOTA BANDUNG NOMOR 20 TAHUN 2023 TENTANG PENYELENGGARAAN SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK DI KOTA BANDUNG (STUDI KASUS PADA E …'
258932,googlescholar,Implementation Peraturan Daerah Kota Bandung Nomor 16 Tahun 2012 Tentang Penyelanggaraan Perhubungan Dan Retribusi Di Bidang Perhubungan in The Elemenation Traffic Congestion,"MD Pahlevi, PS Kurniati","International Journal of Computer in Law & Political Science 5 (1), 1-10, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Implementation Peraturan Daerah Kota Bandung Nomor 16 Tahun 2012 Tentang Penyelanggaraan Perhubungan Dan Retribusi Di Bidang Perhubungan in The Elemenation Traffic Congestion'
258932,googlescholar,"Public Satisfaction Index of Public Services at Pamarayan Community Health Center, Serang District, Banten Province","SYA Rohmah, S Sahbani, P Sukaesih","Proceeding of International Conference on Business, Economics, Social …, 2025",2025,0 cited,,"https://scholar.google.com/scholar?q=+intitle:'Public Satisfaction Index of Public Services at Pamarayan Community Health Center, Serang District, Banten Province'"
258932,googlescholar,of Social Security Agency Health Implementation,"PS Kurniati, MAI Pratama","Proceedings of the 8th International Conference on Business, Economics …, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'of Social Security Agency Health Implementation'
258932,googlescholar,"Preface: Proceeding of the 5th International Conference on Informatics Engineering, Science & Technology (INCITEST) 2022","L Warlina, H Maulana","AIP Conference Proceedings 3200 (1), 010001, 2025",2025,0 cited,,"https://scholar.google.com/scholar?q=+intitle:'Preface: Proceeding of the 5th International Conference on Informatics Engineering, Science & Technology (INCITEST) 2022'"
258932,googlescholar,Strategi Pemerintah Daerah Kabupaten Bandung Barat Dalam Pengelolaan Wisata Alam,"MRN Kandias, P Sukaesih","GOVERNANCE: Jurnal Ilmiah Kajian Politik Lokal dan Pembangunan 12 (1), 74-80, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Strategi Pemerintah Daerah Kabupaten Bandung Barat Dalam Pengelolaan Wisata Alam'
258932,googlescholar,"POLICY IMPLEMENTATION RURAL INFRASTRUCTURE DEVELOPMENT PROGRAM (PPIP) IN LOPANA VILLAGE, NORTH SULAWESI PROVINCE","PS Kurniati, DN Sitorus","Proceeding of International Conference on Business, Economics, Social …, 2024",2024,0 cited,,"https://scholar.google.com/scholar?q=+intitle:'POLICY IMPLEMENTATION RURAL INFRASTRUCTURE DEVELOPMENT PROGRAM (PPIP) IN LOPANA VILLAGE, NORTH SULAWESI PROVINCE'"
258587,scopus,Determining Factors for The Successful of Financial Reporting in Indonesian State-Owned Enterprises,,Quality Access to Success,2025,0 cited,Q4 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105006626378&origin=resultslist
258587,scopus,Information technology and its impact on business digitalization through e-commerce and marketplace transactions in Indonesia,,Aip Conference Proceedings,2025,0 cited,Q4 as Conference Proceedin,https://www.scopus.com/record/display.uri?eid=2-s2.0-85219173442&origin=resultslist
258587,scopus,Skills and Functioning Departmentalization in Improving The Effectiveness of Digitalization of Accounting Systems,,Australasian Accounting Business and Finance Journal,2024,1 cited,Q2 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-85215106019&origin=resultslist
258587,scopus,Enhancing inventory efficiency: the role of Strategic Management Accounting and Integrated Management Accounting Information systems,,Cogent Business and Management,2024,2 cited,Q1 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-85209938439&origin=resultslist
258587,scopus,Increasing the Efficiency of Electricity Use of PLTP Motor Control Center (MCC) Using Automatic Electronic System at PT PGE Karaha,,Proceeding of 2023 17th International Conference on Telecommunication Systems Services and Applicati,2023,0 cited,no-Q as Conference Proceedin,https://www.scopus.com/record/display.uri?eid=2-s2.0-85182733303&origin=resultslist
258587,scopus,COMPARATIVE STUDY OF MANAGEMENT ACCOUNTING SYSTEM MODELS ON COMPANY PERFORMANCE IN INDONESIA AND MALAYSIA FINANCIAL INSTITUTIONS,,Journal of Eastern European and Central Asian Research,2023,5 cited,Q2 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-85162021582&origin=resultslist
