file_name,file_path,cloc
RegionSelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\RegionSelectInputImpl.kt,0
UnitSelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\UnitSelectInputImpl.kt,0
NavBarMenu.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\menu\NavBarMenu.kt,0
UiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\state\UiState.kt,0
AGActionDropdown.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGActionDropdown.kt,0
AGAuthNavAsk.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGAuthNavAsk.kt,0
AGAuthTopBanner.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGAuthTopBanner.kt,0
AGButton.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGButton.kt,0
AGCameraPreview.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGCameraPreview.kt,0
AGCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGCard.kt,0
AGCardWarning.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGCardWarning.kt,0
AGDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGDialog.kt,0
AGDisinfectantRecommendationCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGDisinfectantRecommendationCard.kt,0
AGDivider.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGDivider.kt,0
AGDropdownMenuItem.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGDropdownMenuItem.kt,0
AGExploreMenu.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGExploreMenu.kt,0
AGFeatureCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGFeatureCard.kt,0
