nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
RISKA SRI RAHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/5978448,Unknown,5978448,0,0,0,3,0,3
KANI MAHARDIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6084709,Teknik Perencanaan Wilayah Dan Kota (S1),6084709,0,2,0,59,0,59
ANTO PURWANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6685177,Unknown,6685177,0,1,0,6,0,6
LIA YULIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6736482,Keuangan Dan Perbankan (D3),6736482,0,0,0,1,0,1
ERICK WIJAYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258862,Unknown,258862,0,0,0,3,0,3
SANGRA JULIANO PRAKASA,https://sinta.kemdiktisaintek.go.id/authors/profile/259202,Ilmu Komunikasi (S1),259202,0,0,0,26,0,26
MAMAN KUSMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6029164,Unknown,6029164,0,4,0,35,0,35
SANGRA JULIANO PRAKASA,https://sinta.kemdiktisaintek.go.id/authors/profile/259202,Ilmu Komunikasi (S1),259202,0,0,0,26,0,26
MAMAN KUSMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6029164,Unknown,6029164,0,4,0,35,0,35
NANG PRIMADI TABRANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6048459,Unknown,6048459,0,11,0,133,0,133
RISKA SRI RAHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/5978448,Unknown,5978448,0,0,0,3,0,3
KANI MAHARDIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6084709,Teknik Perencanaan Wilayah Dan Kota (S1),6084709,0,2,0,59,0,59
ANTO PURWANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6685177,Unknown,6685177,0,1,0,6,0,6
DEASY PERMATASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5999425,Manajemen Informatika (D3),5999425,0,4,0,121,0,121
LINDA MEGA SILVIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6746292,Desain Komunikasi Visual (S1),6746292,0,0,0,3,0,3
KEN KINANTI PURNAMASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5990453,Teknik Informatika (S1),5990453,1,0,0,100,0,100
